Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
"Southwest Signs, Inc.",5641 W. 63rd St.,Archer/Central,12/08/2015,10850.00,8137.50,"replacing two (2) furnaces, new duct work, and install new rooftop unit with all necessary gas and electrical connections"
"Jeffery Manor Auto Wash, Inc.",2544 E. 95th St.,Commercial Avenue,12/09/2015,40000.00,23868.25,"removal of all existing wall and ceiling coverings in car wash tunnel and frame out new structural metal I-beam and columns; install new plastic paneling system over walls and ceiling to prevent moisture seepage and water damage, and reinstall all electrical and gas piping, fixtures, and mechanicals"
"Debit Connections, Inc. dba DCI",4200 W. Victoria St.,Peterson/Pulaski,12/14/2015,103612.00,51206.00,"removal and replacement of nine (9) existing rooftop HVAC units (new units garnering energy star ratings) with all necessary electrical wiring, economizers, and gas piping; replacement of 1 unit heater and duct free split system; tear off and replacement of roof section over warehouse with new TPO membrane, gutters, and aluminum fascia board; and permit fees (expediting fees not included)"
"Metropolis Coffee Company, LLC",3057 N. Rockwell St.,Addison Corridor (South),12/17/2015,295331.00,147665.50,"furnish and install new electrical distribution system and thirty (30) T-8 light fixtures for warehouse; furnish and install outlets, switches, and T-8 fixtures for office area; furnish and install water supply and waste distribution for sinks and roasting room; furnish and install two (2) 10 ton twin HVAC system for office and part of warehouse and one (1) 5 ton twin system for other rooms; furnish and install gas pipe for distribution for roasting equipment; new windows in existing openings and new masonry openings; framing, doors, and drywall for partitions and ceiling for warehouse build-out; framing, doors, insulation, painting, and drywall for ceilings and partitions for office build-out; seal concrete surfaces in office and construct ADA ramps; permit, architect, and engineering expenses."
"Fasttrak Auto Center, LTD",3263 W. Fullerton Ave.,Fullerton/Milwaukee,12/17/2015,51975.00,38981.25,"masonry façade renovations including replacement of face brick with new brick of similar style and color, restoration of limestone work at parapet wall and on upper façade, and creation of new openings for two new entryways; shore up front roof area behind upper facade; tuckpointing of basement walls and ceiling; and installation of new aluminum storefront frames, doors, and glass to seal new facade"
"3880, LLC",3880 N. Milwaukee Ave.,Portage Park,12/21/2015,101650.00,76237.50,"tear off and replacement of two rear roofing sections and main building roof section including removal of existing membrane, underlayment, insulation, flashing, and coping tiles, repairs to decking as needed, new plywood sheathing, new insulation, and new 60 mil white TPO membrane roofing system, new flashings and termination bars at base of clay coping tiles on parapet walls; removal of old drain system and installation of new galvanized steel gutter system with downspouts, tuckpointing as needed on parapet walls, and replacement of two skylights with glazing"
Antek Madison Plastics USA LTD. ,8822 S. Dobson,Stony Island/Burnside,12/29/2015,108685.00,54342.50,"complete roof tear off, with repairs to damaged decking and flashing, underlayment, new insulation, new modified bitumen membrane, waterproofing and aluminum coating"
Sandra Pauta,5715 W. Irving Park Rd. ,West Irving Park,01/04/2016,60980.00,45457.00,"concrete work including a new retainer wall at back entry to basement, installation of  drains to prevent water overflow, cut, removed and replaced the concrete landing at basement door, replaced stairs to the basement; plumbing work including sewer cleanout, replacement of sump pump; new doors, repaired water damaged walls in basement, removed non-bearing walls, remodeled basement bathroom damaged by water overflow, primed and painted basement ceilings and walls. "
Electronic Connector Company,6332 S. Central Ave.,Archer/Central,01/05/2016,9500.00,4750.00,"removal of exterior signage on upper façade, repairs to damaged brick including tuckpointing and power washing, and electrical work to cap electrical supply used for old signage; installation of ten (10) double hung vinyl windows on upper façade including caulking and capping work"
"Nationwide Distributors, Inc. / Fillmore, LLC",1034 S. Kostner Ave.,Roosevelt/Cicero,02/02/2016,183064.45,69028.17,"install high efficiency, motion-sensing light fixtures including ballasts throughout entire warehouse facility, exit signs, electrical receptacles, and connections to new electrical service; finish installing fire rated doors in stairwells and interior rolling security doors including associated masonry work for door framing"
Raven Theatre Company,6157 N. Clark St.,Clark/Ridge,01/06/2016,132365.10,98931.08,"HVAC improvements including replacement of rooftop compressor unit, exhaust fan, and heat exchanger; removal and replacement of damaged tree grates in public way by front façade; tuckpointing on north elevation; exterior painting on north, west, and south elevations; replacement of concrete by front entryway; structural signage improvements including replacement of reader board sign hung on south elevation with new aluminum pan sign (not including Raven Theatre-specific applications), installation of backer panel for back lit illumination of existing sign on front façade, removal of defunct box sign on north elevation and replacement with LED illuminated box sign (not including Raven Theatre-specific applications), and installation of bolted frame on recessed western elevation for banner signs (not including printed banners); electrical work including up lighting (fixtures and wiring) of front façade signage, wiring for LED box sign, installation of gooseneck light fixtures and wiring on south elevation, and installation of new LED light fixtures with all new wiring using existing and new conduit; replacement of deteriorated carpeting with new carpet; architectural services"
"Grandstand, Ltd.",600 W. 35th St.,35th/Wallace,01/07/2016,57249.38,42937.04,"furnish and install a new storefront system (frames, impact resistant doors, and glass); labor and materials for the installation of thirty-one (31) precast stone panels; demolish old siding and install new steel siding (labor and materials) on Grandstand part of building (75 LF on 35th Street and 125 LF on Wallace Avenue elevations); install new copings; install eight (8) exterior gooseneck light fixtures and associated electrical work (labor and materials); and permit expenses"
Josephine Jet Set Beauty Salon ,2542 E. 79th St.,Avalon Park/South Shore,01/08/2016,126758.00,94712.25,"complete renovation for the salon at 2542 E. 79th St.: new storefronts, doors and windows for the adjacent commercial spaces; framing, installation of drywall, installation of mold resistant sheetrock, interior trim for all door casings, baseboards, new door casings for exterior doors and windows;masonry repairs, tuck-pointing, painting; replacement of rubber roofing and decking over commercial spaces; façade repairs including replacement of damaged soffit and fascia; new flooring; installation of a heating and air conditioning system; plumbing including all new rough plumbing cast iron floor drains, sink drains, copper vents, new water supply system, and a new water heater; electrical system including installation of new 400 amp 3 phase electrical distribution and meter panels, and finish electrical fixtures and trimmings"
"Cosmopolitan Continental Cafe, Inc. dba Lutnia Restaurant",5532 W. Belmont Ave.,Belmont/Central,01/08/2016,36500.00,19250.00,"install new storefront windows and doors; façade improvements compliant with Design Guidelines (cleaning and tuck pointing of existing tiled elevation, demolition of aluminum siding, installation of new color-matched tiles in areas where siding was removed, and associated masonry repairs)"
"GreenWay Resource Recovery, LLC",2100 S. Kilbourn Ave.,Roosevelt/Cicero,01/08/2016,15200.00,7600.00,balance of the masonry repairs (grinding and tuck pointing) to the exterior walls of 2100 S. Kilbourn
Chii Clothing Company dba Culture Studio,1151 W. 40th St. ,Stockyards Annex,01/11/2016,31680.00,13990.00,"electrical work required for new equipment including installation of a 400 AMP circuit breaker panel, a three (3) phase transformer, new wiring, conduit, and drop cords for equipment"
"Spectra Merchandising International, Inc. ",4230 N. Normandy Ave.,Read/Dunning,01/13/2016,24289.00,10879.50,"furnish and install eight (8) new LED wall fixtures on exterior wall; furnish and install an additional 100 amp electrical panel in electrical closet; furnish and circuit and disconnect for a three-phase forklift charger; furnish and install step down transformer for the new panel; repairs to dock doors at north elevation and main doors (install new header sections, weather sealer, and insulated bottom section); and furnish and install four (4) exterior pedestrian steel access doors"
"South Chicago Art Center, NFP dba SkyArt",3026 E. 91st St. ,Commercial Avenue,01/20/2016,285668.10,34862.50,"completion of the buildout including finishing of roofing work (tear off, new decking, plywood, insulation, cover board, and a 60 mil TPO membrane system) and new mechanical HVAC work (installation of two (2) 7.5 ton RTUs and forced air ductwork system throughout the interior)"
"La Michoacana, Inc. dba La Michoacana Ice Cream Shop",6610 S. Pulaski Rd.,63rd/Pulaski,01/25/2016,10550.00,7912.50,"HVAC ducts, exhaust hood and fire suppression system. "
Amy's Candy Bar Inc.,4704 N. Damen Ave.,Western Avenue (North),01/26/2016,6830.22,4305.38,"installing a new awning system, new circuit for an air conditioning unit, new electrical panels and lighting fixtures"
Maria Gonzalez,2618-20 W. Division St.,Humboldt Park,01/27/2016,25292.00,18969.00,"furnish and install new storefront system items (frames, glass, and doors) for the ground floor commercial units at 2618-20 W. Division St. only"
Royal Envelope Corporation,4114 S. Peoria St.,Stockyard Annex,02/01/2016,55200.00,27600.00,"upgrade sprinkler system in warehouse facility (remove and replace approx. twelve (12) sprinkler lines and approx. forty-eight (48) sprinklers); replace approx. eight (8) sprinkler escutcheons, fourteen (14) backer rings, and install three (3) new chrome pendant sprinklers in office and bathroom areas; install horizontal sidewalls beneath interior and exterior dock door areas and install one (1) pendant sprinkler in shipping office ceiling; upgrade sprinkler system in machine shop mezzanine area and above locker room (install twelve (12) new brass upright sprinklers in machine shop and install twenty-five (25) semi-recessed pendant sprinklers in locker room ceiling); upgrade sprinklers below break room mezzanine and at 2nd floor break room (install twenty (20) new brass upright sprinklers in break room mezzanine and install twenty (20) new brass upright sprinklers in break room ceiling; adjust five (5) sprinkler heads at 2nd floor wall for proper coverage; install one (1) new sprinkler in existing closet and at stair landing; replace existing 8"" single check valve with a new double check backflow preventer as required by City code including control valves, hangers, and miscellaneous fittings"
"CPP Enterprises, Inc. dba Villa Rosa Pizza ",5786 S. Archer Ave.,Archer/Central,02/03/2016,130000.00,97500.00,"façade renovations including removal of old stucco and installation of new common brick, three (3) new commercial grade windows, a new entry door and frame with tempered glass; tear off of existing roofing system, replace shingles over rear section, new 1” insulation and modified bitumen torched down roofing over front section; HVAC improvements including new 5 and 3 ton rooftop unit to tie in with existing and new ductwork, kitchen exhaust vent repairs and installation of new exhaust hood; frame and install new commercial grade doors in side and rear of building; renovations to dining room including new drywall, repairs to subflooring and install new ceramic 12 x 12 tile in dining area, entry and hallway areas (restroom tile not included); wiring and new can light fixtures for dining area"
"The SMB Help Desk, Inc. ","4147 N. Ravenswood Ave., Ste. 100 & 201",Ravenswood Industrial Corridor ,02/04/2016,29935.50,22224.38,demolish old windows and install ten (10) replacement windows at 4147 N. Ravenswood #202
Copernicus Foundation,5216 W. Lawrence Ave.,Jefferson Park,02/05/2016,209500.00,100000.00,complete removal and replacement of the roofing systems over the main building and ticket room area (demolition; remove and replace coping tiles as needed; install new TPO roofing membrane; install new flashings and termination bars); repairs to the tower roof of the project property; tuck point the northwest side of the building; and remove and replace the alley pedestrian door
Bitoy's Bistro Inc.,5946 W. Chicago Ave.,Austin Commercial,02/12/2016,66666.66,50000.00,"partial completion of the comprehensive masonry/exterior rehab project at 5946 W. Chicago: demolish existing masonry facade and fully replace with similar brick and stone that matches the original exterior design in size, color, texture, and finish (includes flashing installation and new window headers); chemically clean west elevation and rear elevation of building and repair and replace masonry with like-kind materials as necessary (includes roof caps, flashings, new gutters, and install new window headers and remove brick from original window openings as necessary); partial installation of new storefront frames and glass at west and rear elevations"
"RX Pain Management Group, P.C.",3405 S. Halsted St.,35th/Halsted,02/16/2016,178000.00,100000.00,"demolition of interior walls, ceiling, doors, and drywall to expose masonry; interior carpentry to frame walls, to install ceiling tiles, to install doors and hardware, and to install baseboards and door trim per architectural plans; rough plumbing in two restrooms per plans; renovate one restroom for ADA-compliance (includes accessible plumbing fixtures); install plumbing fixtures (sinks, faucets, toilets) and drains per plans; remove and replace electrical service box and install wiring, outlets, and commercial grade fluorescent light fixtures per plans; install HVAC systems (furnace, a/c, duct work, thermostats) as per plans; install drywall and insulation per plans; new wood and tile flooring; facade improvements (remove concrete at front elevation and pour new per plans; install new commercial frames and glass for storefront per plans; new hardware for commercial space door; lintel repairs; removal of steel panels, power washing); remove rear wall and install new lintel; install new garage door at rear"
"MHAC Optical, P.C. dba Affinity Optical",6500 W. Irving Park Rd. #1,Read/Dunning,02/16/2016,23850.00,17887.50,remove current rooftop HVAC unit and replace with a new high efficiency rooftop HVAC unit and associated ductwork and electrical; furnish and install new tray and can style LED lighting and a new exit sign
"Dovetail Brewery, Inc.",1800 W. Belle Plaine,Ravenswood Industrial Corridor ,02/16/2016,131985.00,65992.50,"progress to date for the following work: plumbing work: furnish and install supply, waste, and gas piping to HVAC equipment, brewing facilities, restrooms, boilers, and hot water heaters, make connections to water and sewer, and install necessary drains and plumbing fixtures (work per plans); and electrical work: install all electrical equipment and make connections to electrical service including all piping, wiring, boxes, breakers, switches, transformers, light fixtures, and fire alarm system (work per plans)"
"Ambassador Paints, Inc.",5756 N. Lincoln Ave.,Lincoln Avenue,02/16/2016,66400.00,49800.00,"removal and replacement of existing roof including repairs to decking, new underlayment, and new insulation; removal and replacement of two (2) rooftop mechanical HVAC units with new gas piping connections and ductwork"
Thrifter's Delight LLC,4112 W. Armitage Ave.,Armitage/Pulaski,02/23/2016,47132.60,35349.45,"plumbing work to relocate existing water supply for toilet and shower drain; demolish existing shower and flooring; install cement board flooring underlayment; install new ceramic floor tiles; drywall patching and installation of new drywall; install new baseboards and mouldings; painting; replace front window; furnish and install track lighting kits, flourescent lights, and two (2) exit signs; install emergency lights and three (3) wall outlets; install wood flooring; selective demolition on rear area of store (demolition of cabinets, counters, walls, ceiling, and flooring); level ground and install new concrete slab and steps in rear area of store; install tile flooring over concrete; install new drywall for ceiling in rear area; new baseboards and mouldings in rear area; painting; selective demolition in basement, install 4"" rigid PVC perforated drain tile, cleanout port, drainage flange, and repour concrete; install sump pump and associated electrical; connect to existing clay basin; permits"
"Bernacki & Associates, Inc. & Oakley Interiors",424 N. Oakley Blvd. ,Kinzie Industrial Corridor,02/25/2016,151809.45,58597.26,"loading dock improvement, overhead doors, HVAC, plumbing, electrical, elevator, structural improvements. "
Bitoy's Bistro Inc.,5946 W. Chicago Ave.,Austin Commercial,08/12/2016,69597.28,50000.00,"the balance of work and expenses for the completion of the comprehensive masonry/exterior rehab project at 5946 W. Chicago: demolish existing masonry facade and fully replace with similar brick and stone that matches the original exterior design in size, color, texture, and finish (includes flashing installation and new window headers); chemically clean west elevation and rear elevation of building and repair and replace masonry with like-kind materials as necessary (includes roof caps, flashings, new gutters, and install new window headers and remove brick from original window openings as necessary)"
Band of Bohemia LLC,4710 N. Ravenswood Ave.,Ravenswood Industrial Corridor ,02/25/2016,931957.01,50000.00,"the complete gut rehab of 4710 N. Ravenswood for restaurant-brewpub functionality including HVAC improvements (furnish and install three (3) new rooftop units; new duct work; new exhaust fans; vent and flue installation; installation of HVAC controls; install dust collector; associated roofing work); furnish and install new bi-fold door system at east elevation; furnish and install new sprinkler heads in existing sprinkler system; furnish and install new epoxy and stained concrete flooring throughout; furnish and install approx. 1,800 sf of FRP panels; furnish and install new interior doors, frames, and hardware; balance of electrical improvements (new 800 amp service and panels; electrical needed for HVAC improvements; installation of lighting (fixture expenses not included); and install exterior light"
"Midwest Buy & Sell, Inc.",6019 W. Irving Park Rd.,West Irving Park,02/25/2016,28472.00,21354.00,"demolish existing roof; replace roof decking and rafters as needed; install new rigid fiber recovery board and base sheet; install new modified bitumen membrane roofing system; install new flashings and reset coping tiles as needed; install new gutters and reflective aluminum roof coating; demolish existing façade knee wall and build a new 14’ x 9’ knee wall with new brick to match existing façade bricks; tuck pointing of front façade; caulk limestone sills; masonry repairs to chimney; and furnish and install a new storefront system (frames, glass, door)"
"Alchemia Art of Hair, Inc.",5009 N. Sheridan Rd.,Hollywood/Sheridan,02/29/2016,50270.00,25000.00,"mechanical HVAC work (new rooftop condenser unit, ducts, fans, and exhausts); electrical work including wiring, light fixtures, and installing receptacles, switches and outlets; plumbing work including installing new water piping and fixtures (shampoo bowl fixtures not included); carpentry and framing work, insulation, drywall and drop ceilings; flooring work including leveling of concrete floors and finishing with a resin seal system; painting and finishing work"
"Eric Tseng O.D., Prof. Corp.",9928 S. Western Ave. ,Western Avenue/Rock Island,03/01/2016,14070.00,10552.50,"the balance of project work items and expenses: masonry repairs to north elevation brick wall (replace approximately 50 bricks; removal of previous business signage and electrical hardware; grind out mortar joints and tuck point); masonry repairs to west elevation (replace approximately 20 bricks; grind out out mortar joints and tuck point); roofing repairs (powerwashing; reseal base of vents, stacks, and mechanical penetrations; patch roof membrane and install new flashing; install new aluminum roof coating); install new storefront frames, glass, and doors; demolition of existing brick veneer and support columns; install new CMU support wall and facade veneer; install flashings and limestone coping; grind out and regrout granite panel joints; electrical system improvements (install exterior conduit and junction boxes at north and west elevations); install four (4) gooseneck exterior lamps on north and south face brick wall and install four (4) floodlights at north elevation; install one (1) exterior entrance lamp at west elevation"
"Eric Tseng O.D., Prof. Corp.",9928 S. Western Ave. ,Western Avenue/Rock Island,03/01/2016,2979.00,2234.25,structural components of shed-style awning signage only
"Dee's Phase I, Inc. dba Putten's Pantry",5449 W. Division St.,Austin Commercial,03/04/2016,19132.00,14349.00,"roof tear off, repairs to wood decking as needed, mechanically fasten new fiber board and base sheet, new modified bitumen membrane system with new flashings and cant strips, an aluminum coating finish, and install new gutters and downspouts; masonry repairs on parapet walls in the rear of the building"
Los Altos Operating LLC dba Cantina 1910,5025 N. Clark St.,Clark/Montrose,03/15/2016,3007359.75,100000.00,"the following improvements to the existing building at 5025 N. Clark only: masonry repairs; structural framing; rough carpentry and rough carpentry materials; insulation; roofing; joint sealers; interior doors, frames, and hardware; roof hatch; storefront windows and frames; drywall; epoxy flooring; and building system renovations (mechanical/HVAC, electrical, plumbing, and fire protection system)"
Baderbrau LLC,2515 S. Wabash Ave.,Bronzeville,03/15/2016,150000.00,75000.00,partial completion of the plumbing improvements and concrete work done in connection with the production brewery portion of the build-out at 2515 S. Wabash only: coring for new floor penetrations and excavation for underground plumbing service; saw cutting and concrete removal for underground trenches; all domestic water service and sanitary waste piping as needed; concrete for production area slab flooring
"The New 400, LLC ",6746 N. Sheridan Rd. ,Devon/Sheridan,03/18/2016,126481.00,81014.63,"renovation of the four (4) theater rooms by removing the existing seating which was in disrepair, flooring work including smoothing the existing concrete floors and finishing with an epoxy topcoat, and installing four hundred (400) new fixed-back chairs into theater rooms by bolting them into the new floors"
"Southwest Signs, Inc.",5641 W. 63rd St.,Archer/Central,03/23/2016,11706.83,8723.87,"installation of light fixtures and associated electrical work.
New storefront system with aluminum frame, tempered glass windows and door.
Garage door replacement"
Kasmersky Animal Services Ltd dba Broadway Animal Hospital,6320 N. Broadway St. ,Devon/Sheridan,03/25/2016,40547.50,17623.13,roofing and tuckpointing
Prism Optics Inc,3594 N Milwaukee,Portage Park,03/25/2016,23360.31,16834.75,tuckpointing and masonry repairs on north elevation; removal of large canopy and soffit from front façade and repair and install new brick veneer; installation of new commercial door frame and glass at front entry; replacement of interior door connecting lens crafting lab room to rear entry with a new commercial grade door; soft costs related to safety canopy during renovations and permit expenses
"All Products Automotive Inc. & apaWD, LLC",4701 W. Cortland St.,Northwest Industrial Corridor,08/12/2016,148638.00,74319.00,"Replacement of bricks, tuck-pointing, concrete work. "
"Dimitre Photography, Inc.",2716 W. North Ave.,Humboldt Park,03/29/2016,157604.00,100000.00,"install new aluminum framed storefront system; electrical work including install new sub-panel, switches, outlets, and relocate electrical wiring; plumbing work for ADA-compliant restroom and kitchenette including new gas line (fixtures provided by owner); tile flooring in restroom; insulation work in walls and ceiling and install new drywall throughout; HVAC work including install new ductwork and exhaust vents; concrete work to level and repair flooring in rear of building; masonry work to create opening in rear masonry wall for loading area including installation of a metal support beam and steel lintel, and interior and exterior tuckpointing work as needed; carpentry and framing work throughout interior for new layout, rebuild roof over rear section with new joists, insulation, sheathing and membrane, and rebuild existing stairwell to basement commercial storage area (stairs to roof/roof access/and porch re-build to residential units not included); painting and finishing work"
"Flexicraft Industries, Inc. and The Metraflex Company",2315-23 W. Hubbard St. ,Kinzie Industrial Corridor,03/30/2016,314584.36,146158.65,"demolition of existing bathroom walls, fixtures, and finishes; demolition of CMU walls at north wall and stud wall at south wall; removal of existing interior sump pit concrete; furnish and install concrete for new sump pump and bathroom plumbing trenches; furnish and install materials for CMU interior office walls; furnish and install 16 x 40 steel beam at north wall; provide seven (7) 2"" x 2"" tube posts for OSHA screen wall; install new steel railings and stairs; rough carpentry (provide double wood joists for expanded mezzanine area; frame out new walls for bathroom and office areas; frame in soffit for beam at south office wall); provide and install four (4) new wood doors and install one (1) salvaged door; furnish and install three (3) new exterior windows and one (1) interior window for east wall of office; furnish and install new drywall and ceilings below extended mezzanine area and in new bathrooms; furnish and install 425 square feet of new porcelain tile flooring in bathroom and provide solid wainscot panels for bathroom walls; install new carpet; painting; plumbing renovations to extend water line; provide four (4) new toilets, two (2) wall-mounted lavatory sinks, two (2) new urinals, and two (2) floor drains with associated venting, piping, and insulation; furnish and install one (1) new three ton energy efficient rooftop HVAC unit and associated duct work, roofing work, and  insulation; extend baseboard radiant heat to mezzanine space and new office; install two (2) new thermostats; electrical work for new HVAC, fluorescent lighting, outlets, switches, and exhaust fans; and architectural expenses"
"Vander Weele Group, LLC",4725 N. Sheridan Rd. #1S,Wilson Yard,04/01/2016,29202.00,20476.50,"renovations to office space including construction of a recessed glass foyer at front entry; instal new waste and supply plumbing lines; install new ducts and registers for current HVAC system; install rough and trim electrical; install, tape, and prime drywall around perimeter of office as needed; installation of cabinets and appliances (purchased separately by owner); carpentry work including framing and relocation of interior doors, install new baseboards and casings, replace damaged ceiling tiles, painting and finishing (private office and conference room construction not included)"
"Skolnik Industries, Inc.",4900 S. Kilbourn Ave.,Midway Industrial Corridor,04/06/2016,208749.00,104374.50,"demolish existing boiler, asbestos insulation, and make-up air unit and furnish and install three (3) new energy-efficient make-up air units at warehouse (includes new diffusers, controls, associated electrical work, associated natural gas main work, roofing of all curbs and pipe portals, steel reinforcements for the make-up air units, and associated masonry work)"
"Hallberg-Valek Agency, Ltd.",3105 W. 111th St.,111th/Kedzie,04/11/2016,35500.00,10655.00,"remove existing 2,150 SF roof, install new insulation, new 4 ply rubber roofing system, and flashings with along parapet walls"
Research House for Asian Art,3217 S. Morgan St.,35th/Halsted,04/13/2016,38500.00,28875.00,"Repair cracks along foundation, basement floor, and exterior and interior walls; apply subfloor drainage system and water proofing seal to walls; install a commerical grade sump pump and ventilation system

apply epoxy coating to seal floors and seal basement windows as necessary

"
George Bazianos,5701-7 W. Irving Park Rd.,West Irving Park,04/22/2016,30867.00,16895.25,"waterproofing improvements in the basement: demolition as needed; install check valves, discharge lines, and new sump pump; install rigid drainage tile and clean-out ports; pour new concrete"
"S & K, Inc. dba Thomas Coffee Shop",1657 E. 87th Street ,Stony Island/Burnside,04/25/2016,63327.85,47495.89,"Tuckpointing along the east wall of the building; rough capentry work including new exterior and interior walls for rear storage room; plumbing work including replacing grease trap and restroom fixtures; and install a new walk-in cooler
"
"Maria Real Estate, Inc.",10409 S. Ewing Ave.,Ewing Avenue,05/05/2016,49545.78,37071.16,"masonry façade renovations: remove brick veneer on front façade and install new brick with similar color and pattern including flashings, weep cords, and stainless steel drip edges, replace stone copings, sills, and base stones; install new water meter and plumbing fixtures in basement; replace damaged siding in rear of building; replace exterior windows around property; remove and reinstall rubber roofing system including new asphalt shingles and gutters; HVAC improvements including install new furnace, condensing unit, and ductwork; painting and finishing work"
"The Gleason Law Group, P.C.",4653 N. Milwaukee Ave.,Jefferson Park,05/11/2016,20750.00,15562.50,"demolish existing aluminum siding; furnish and install new siding including trims, flashings, soffits; repair water damage to ceilings and walls and painting"
"Laughing Mustache, LLC dba Logan Parlor",3251 W. Fullerton Ave.,Fullerton/Milwaukee,05/11/2016,17205.00,12424.50,remove existing conduit from front façade; install six (6) weather-proof electrical boxes on door sides; install four (4) gooseneck exterior light fixtures and two (2) additional fixtures to highlight signage; install wrought iron bracket for customer-supplied sign over front door vestibule (sign itself is not in contract)
"Ambassador Paints, Inc.",5756 N. Lincoln Ave.,Lincoln Avenue,05/12/2016,71800.00,48127.50,"electrical work including furnish and install two new electrical panels (3 phase 200 AMP panel, single phase 100 AMP), replace light fixtures with new T8 LED fixtures, and installation of new outlets in walls; minor repairs to HVAC ductwork; plumbing work to renovate restrooms and kitchen break room including underground waste, vent, and water supply piping, and new fixtures; carpentry work associated with restroom, breakroom, and retail area remodeling including new drywall, new ceiling with grid system and tiles, partitions/framing work, and replacement of flooring system with 12” x 12” VCT flooring and repairs to underlayment as needed"
"Suhland Coin Laundry, Inc. ",4221 W. North Ave. ,Pulaski Corridor,05/13/2016,135300.00,100000.00,"Complete remodeling, interior, masonry, plumbing, electrical, mechanical, roofing, rear vestibule, two auto roll up doors. "
"Airam IL, Inc. / Sabor a Mi, Inc. dba Nana",3267 S. Halsted St.,35th/Halsted,05/13/2016,63948.00,34020.00,replace gutters and redirect water spouts; frame out and drywall new corridor; install new rear metal exit door; install new fire and sound insulation between ceiling joists and wall in corridor and dishroom; plumbing to install floor drainage; balance of masonry expenses in connection with construct four (4) new openings in masonry wall subproject; and install new flooring in corridor
Thrifter's Delight LLC,4112 W. Armitage Ave.,Armitage/Pulaski,05/26/2016,1850.00,900.00,structural frame for new awning (business-specific elements not included)
Little Kiddies Inc.,1501-3 W. Devon Ave.,Devon/Sheridan,05/27/2016,133420.00,100000.00,"demolition of walls, bathroom, ceiling, and floors; furnish and install nine (9) new storefront windows and a new front door for the first floor commercial space; new metal side door; new subflooring and framing for new partition walls; plumbing improvements (labor and material for the following: one (1) kitchen three compartment sink; one (1) grease trap; one (1) hand sink in kitchen; one (1) mop sink; one (1) drinking fountain; three (3) new toilets; two (2) bathroom sinks; and two (2) floor drains; furnish and install new HVAC system (including ducts, diffusers, and fans); install new 125 amp electrical panel system including associated wiring and work to conduit; install fire alarm system; install insulation around windows and on front exterior wall; drywall for partition and bathroom walls and ceilings; install durock in kitchen and bathrooms; furnish and install ceiling light fixtures, exit signs, and emergency lights; install drop ceiling; install ceramic tile flooring in kitchen and bathrooms and vinyl tile flooring in classrooms; three interior doors; provide and install laminate countertop for kitchen; painting of walls and ceilings; tuck pointing of rear and side walls; and demolition of disused signage pole affixed to building"
SC Cleaners and SC Tailor Shop,501-7 E. 47th St.,47th/King,06/03/2016,138500.00,100000.00,"demolition of existing storefront system and install new storefront system (frames, glass, and door); tuck point existing knee wall and north and west elevations; install new limestone sills and lintels at north and east elevation; remove and replace roofing system; interior demolition at 503 E. 47th St.; and the following work at 503 E. 47th St. only: install new drop ceiling, VCT flooring, plumbing fixtures (new sink, new faucet, and new toilet), HVAC improvements (new furnace, new A/C, new exhaust fan, and associated duct work), new 30-gallon hot water heater, electrical system improvements (new panel, new fluorescent light fixtures, new outlet and light switch); new exit sign and emergency light; furnish and install new rear door"
"Prodigy Child, Inc. ",1932-4 E. 79th St.,Avalon Park/South Shore,06/06/2016,33333.00,25000.00,"an interior buildout for the daycare center including framing and drywall work, rough plumbing work for restroom and drinking fountain and installing a new furnace with connections to existing duct work"
"Galloy and Van Etten, Inc.",11756 S. Halsted St.,119th/Halsted,06/06/2016,107089.91,53544.96,"tuck pointing and associated masonry repairs to the entire building exterior (tuck point all stone mortar joints; patch stone units; install helical wall tie anchors at parapets; and replace stone coping joint sealant); remove existing stone shop area light fixtures and replace with twenty-seven (27) new energy-efficient T-5 fixtures; replace four (4) exterior lights affixed to craneway and two (2) exterior lights affixed to the building with energy-efficient replacements; and roof repairs (install bitumen roof patches over approx. 1,000 sq. ft. of roof and install a new aluminum coating over the patches)"
"S & K, Inc. dba Thomas Coffee Shop",1657 E. 87th St. ,Stony Island/Burnside,06/06/2016,42218.57,31663.93,"Roofing repairs including replacement of gutters and downspouts; and storefront upgrades including a new aluminum frame, windows and two (2) doors"
"Sim Ellen Investments, Inc.",8334 - 8338 S. Stony Island Ave.,Stony Island/Burnside,06/07/2016,23650.00,17737.50,"new storefront, cut and replace stones, tuck-point stones, install new lintel, sub-floor, tile flooring, repair ceiling. "
"Time Treasurers Antiques, Inc.",6021 W. Irving Park Rd.,West Irving Park,06/09/2016,48550.00,36412.50,"remove and replace window in back hallway/basement entrance area with a new vinyl double hung window; remove and replace door to basement; shore exterior walls and raise existing foundation in rear of building to prevent flooding; rebuild the exterior wall in connection with foundation work; reconfigure electrical switches, fixtures, and outlets as needed in connection with other back hallway/basement entrance work; tuck point walls and foundation in basement area; open basement concrete floor to install a backup sewer valve and close with new concrete once done; replace commercial "
L. Robinson & Associates,5048 - 50 S. Indiana Ave.,47th/King,06/09/2016,110000.00,50000.00,acquisition of 5050 S. Indiana Ave. for the purpose of expanding an existing insurance agency which currently occupies 5048 S. Indiana Ave.
